Title,Genre,Release Year,Duration,Rating,Views
Movie 1,Drama,2024,124,8.9,750976
Movie 2,Horror,2013,148,7.5,791239
Movie 3,Drama,2017,130,7.6,103264
Movie 4,Comedy,2008,68,7.1,780746
Movie 5,Drama,2020,147,5.1,823168
Movie 6,Drama,2001,60,5.5,235281
Movie 7,Horror,2019,167,5.2,647147
Movie 8,Horror,2014,67,8.2,908613
Movie 9,Action,2006,147,6.6,404070
Movie 10,Action,2011,122,7.5,362228
Movie 11,Comedy,2007,70,9.5,441839
Movie 12,Action,2014,174,6.2,279536
Movie 13,Drama,2002,140,7.1,327824
Movie 14,Horror,2013,67,8.8,267426
Movie 15,Action,2016,94,6.1,187789
Movie 16,Action,2003,94,5.4,523153
Movie 17,Comedy,2017,92,6.4,752452
Movie 18,Comedy,2007,64,5.8,847291
Movie 19,Drama,2003,165,9.6,135657
Movie 20,Horror,2001,162,9.0,245167
Movie 21,Comedy,2005,100,8.2,691669
Movie 22,Action,2021,87,9.4,490671
Movie 23,Horror,2009,66,9.0,729094
Movie 24,Horror,2003,132,5.9,80467
Movie 25,Action,2021,131,9.5,193734
Movie 26,Comedy,2017,71,7.7,632794
Movie 27,Action,2011,93,9.0,119751
Movie 28,Horror,2001,92,9.5,391050
Movie 29,Sci-Fi,2009,107,6.6,940192
Movie 30,Sci-Fi,2003,178,5.6,821774
Movie 31,Drama,2013,82,6.1,702517
Movie 32,Action,2015,121,7.1,471079
Movie 33,Action,2014,147,9.1,378452
Movie 34,Drama,2007,96,9.3,979587
Movie 35,Drama,2013,158,5.0,116081
Movie 36,Drama,2022,103,7.6,993237
Movie 37,Horror,2024,163,7.1,623333
Movie 38,Action,2007,145,6.1,568986
Movie 39,Horror,2020,150,5.6,120078
Movie 40,Drama,2015,94,6.7,877055
Movie 41,Action,2012,124,9.7,32671
Movie 42,Horror,2017,158,6.6,428400
Movie 43,Horror,2014,160,7.6,365528
Movie 44,Drama,2020,106,8.5,969611
Movie 45,Action,2023,137,6.8,620490
Movie 46,Drama,2024,62,9.9,61663
Movie 47,Action,2012,60,9.8,25708
Movie 48,Sci-Fi,2008,64,6.3,888338
Movie 49,Comedy,2014,149,7.5,321955
Movie 50,Comedy,2012,178,6.5,143883
